Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
25–34,Male,Bangalore,₹30k–50k,Working professional,Rarely,"Direct, Zomato, Swiggy",Breakfast,Fusion,₹200–400,Quantity,Non-Veg,Combo,Solo,4,3,20–30 min,Sometimes,Yes,No,,Maybe,Sat,No,"Long wait time, Limited choice, Cold food"
45–54,Prefer not to say,Delhi,₹15k–30k,Working professional,Once a week,Direct,"Breakfast, Lunch, Dinner",Fusion,₹200–400,Discounts,Non-Veg,Combo,Solo,2,2,20–30 min,No,No,No,,No,Sun,Yes,Limited choice
25–34,Male,Delhi,₹15k–30k,Student,2–3 times/week,Swiggy,"Snacks, Lunch, Breakfast",Fusion,₹400–600,Delivery time,Non-Veg,Combo,2 people,3,5,20–30 min,Sometimes,No,No,,Maybe,Mon,No,Limited choice
35–44,Female,Hyderabad,₹30k–50k,Homemaker,Daily,"Direct, Swiggy, Others","Breakfast, Dinner, Snacks","Fusion, Indian",₹100–200,Quantity,Both,Combo,2 people,4,5,<20 min,Sometimes,No,No,,Maybe,Mon,Yes,Limited choice
25–34,Male,Mumbai,₹30k–50k,Working professional,2–3 times/week,Zomato,"Snacks, Dinner, Lunch",Fusion,₹400–600,Quantity,Non-Veg,Combo,Solo,4,4,20–30 min,No,Yes,No,,Yes,Sun,No,"Limited choice, Long wait time"
25–34,Male,Pune,₹15k–30k,Working professional,Daily,Zomato,Dinner,Chinese,₹200–400,"Price, Discounts",Veg,Combo,Solo,4,4,30–45 min,Sometimes,Yes,No,,Yes,Sun,Yes,"Long wait time, High price"
25–34,Male,Pune,<₹15k,Retired,2–3 times/week,Others,Snacks,Continental,₹400–600,"Delivery time, Quantity",Veg,Depends,Solo,5,5,45+ min,No,No,No,,Yes,Tue,Yes,"Cold food, Poor packaging, High price"
18–24,Female,Hyderabad,₹30k–50k,Student,2–3 times/week,Direct,Lunch,Fusion,₹200–400,Price,Veg,Combo,Solo,5,4,30–45 min,Yes,No,No,,Yes,Thu,Yes,Limited choice
35–44,Male,Bangalore,₹15k–30k,Working professional,Once a week,Others,Breakfast,Continental,₹200–400,"Taste, Price",Non-Veg,Combo,Solo,3,3,45+ min,No,No,Yes,4.0,Yes,Sat,Yes,"High price, Poor packaging, Limited choice"
18–24,Female,Pune,₹15k–30k,Student,Daily,Others,Dinner,Indian,₹400–600,Taste,Both,A la carte,Family (3–4),3,1,30–45 min,Sometimes,Yes,No,,Yes,Tue,Yes,Long wait time
<18,Male,Mumbai,₹75k+,Homemaker,Daily,Others,Dinner,Chinese,₹400–600,Taste,Both,Depends,Family (3–4),4,4,<20 min,Yes,Yes,No,,No,Wed,No,Cold food
25–34,Non-binary,Mumbai,₹30k–50k,Homemaker,Once a week,Others,Snacks,Chinese,₹200–400,Quantity,Veg,A la carte,Solo,4,5,45+ min,Yes,No,No,,No,Sat,Yes,Limited choice
18–24,Male,Delhi,₹30k–50k,Working professional,2–3 times/week,Swiggy,Breakfast,Continental,₹100–200,Quantity,Both,Combo,2 people,5,5,<20 min,Yes,Yes,No,,Yes,Sun,No,"Poor packaging, Cold food, High price"
45–54,Female,Chennai,₹30k–50k,Working professional,Never,Direct,"Lunch, Snacks, Dinner",Fusion,₹100–200,Discounts,Non-Veg,A la carte,Family (3–4),1,5,30–45 min,Yes,Yes,Yes,5.0,No,Sat,Yes,Cold food
55+,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Others,Breakfast,Italian,₹100–200,Taste,Both,Depends,Solo,3,5,20–30 min,Yes,Yes,Yes,4.0,Yes,Sat,Yes,Poor packaging
45–54,Female,Bangalore,₹30k–50k,Homemaker,2–3 times/week,Direct,Breakfast,Fusion,₹100–200,Packaging,Both,Depends,Solo,2,4,20–30 min,No,Yes,No,,Maybe,Thu,No,"Cold food, Long wait time, Limited choice"
25–34,Female,Kolkata,₹30k–50k,Working professional,Rarely,Direct,Snacks,"Fusion, Continental, Chinese",₹100–200,"Taste, Discounts",Both,A la carte,2 people,2,3,30–45 min,No,Yes,No,,Maybe,Sat,No,Cold food
<18,Female,Pune,₹50k–75k,Working professional,Daily,"Zomato, Direct",Lunch,Indian,₹400–600,Packaging,Veg,Depends,Family (3–4),2,4,20–30 min,No,Yes,No,,Yes,Tue,Yes,Cold food
45–54,Female,Bangalore,₹15k–30k,Retired,2–3 times/week,"Swiggy, Direct, Others",Dinner,Chinese,<₹100,Taste,Veg,Depends,Solo,4,4,20–30 min,Yes,Yes,Yes,2.0,No,Sun,No,High price
25–34,Male,Mumbai,₹30k–50k,Working professional,Daily,Swiggy,Snacks,Italian,₹200–400,"Packaging, Taste, Delivery time",Veg,A la carte,Large group,1,4,20–30 min,No,No,No,,No,Fri,Yes,Long wait time
55+,Male,Chennai,₹30k–50k,Student,Rarely,"Direct, Zomato, Others","Lunch, Breakfast, Snacks","Chinese, Continental, Italian",₹100–200,"Price, Packaging",Both,A la carte,Solo,4,2,20–30 min,Sometimes,Yes,No,,Yes,Fri,Yes,Poor packaging
55+,Female,Bangalore,₹50k–75k,Working professional,2–3 times/week,Swiggy,"Snacks, Lunch, Breakfast","Italian, Chinese, Fusion",₹100–200,Taste,Non-Veg,A la carte,Solo,4,5,45+ min,Sometimes,Yes,No,,Yes,Sun,Yes,Limited choice
45–54,Female,Mumbai,₹30k–50k,Other,2–3 times/week,"Swiggy, Direct",Breakfast,Chinese,<₹100,"Packaging, Price, Taste",Both,Depends,Solo,2,4,30–45 min,No,No,No,,Maybe,Mon,No,High price
18–24,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,"Zomato, Others",Snacks,Chinese,₹100–200,Delivery time,Non-Veg,Combo,Solo,2,3,20–30 min,Yes,Yes,No,,Yes,Sun,No,Long wait time
25–34,Female,Pune,₹15k–30k,Student,Never,Swiggy,Breakfast,Fusion,₹200–400,Discounts,Both,Depends,Family (3–4),4,4,20–30 min,Sometimes,Yes,No,,No,Thu,Yes,High price
45–54,Male,Hyderabad,₹30k–50k,Working professional,Daily,Others,Lunch,Chinese,₹400–600,Packaging,Veg,Combo,Large group,4,4,30–45 min,Sometimes,No,No,,Maybe,Thu,No,Cold food
25–34,Male,Chennai,₹15k–30k,Working professional,Once a week,Zomato,"Lunch, Snacks, Breakfast",Italian,₹100–200,Packaging,Veg,A la carte,Solo,5,3,20–30 min,Yes,No,Yes,3.0,Yes,Tue,No,Cold food
18–24,Female,Pune,₹15k–30k,Student,Rarely,Others,Dinner,Italian,₹200–400,Taste,Non-Veg,Depends,Large group,5,5,20–30 min,Yes,Yes,No,,Yes,Sun,Yes,"Cold food, Limited choice, High price"
25–34,Male,Bangalore,₹15k–30k,Working professional,2–3 times/week,Direct,Breakfast,Continental,₹200–400,"Packaging, Delivery time, Price",Non-Veg,Combo,Family (3–4),5,3,20–30 min,Yes,Yes,No,,Maybe,Sun,No,High price
45–54,Male,Bangalore,₹30k–50k,Other,Once a week,"Direct, Zomato",Dinner,Continental,₹400–600,Delivery time,Non-Veg,A la carte,Solo,3,3,30–45 min,Yes,No,No,,Yes,Mon,Yes,High price
35–44,Female,Bangalore,₹15k–30k,Working professional,2–3 times/week,Others,Lunch,Continental,₹200–400,"Price, Delivery time, Quantity",Both,Combo,2 people,5,3,<20 min,Yes,Yes,No,,No,Mon,Yes,Limited choice
25–34,Male,Delhi,₹30k–50k,Working professional,2–3 times/week,Swiggy,Snacks,Fusion,₹200–400,"Discounts, Price",Veg,Combo,Solo,4,4,<20 min,Sometimes,No,No,,Maybe,Sun,No,Cold food
18–24,Female,Bangalore,₹50k–75k,Working professional,Rarely,Direct,Lunch,Continental,₹200–400,Delivery time,Non-Veg,Combo,2 people,5,5,20–30 min,No,No,No,,Maybe,Tue,Yes,Limited choice
25–34,Male,Chennai,₹15k–30k,Student,Once a week,Zomato,"Breakfast, Snacks, Lunch","Indian, Chinese",₹400–600,Delivery time,Both,Combo,Solo,1,5,20–30 min,No,No,No,,Maybe,Fri,Yes,Limited choice
55+,Female,Hyderabad,₹30k–50k,Retired,Rarely,"Direct, Swiggy, Zomato","Snacks, Lunch",Fusion,<₹100,Packaging,Veg,Combo,2 people,5,5,20–30 min,Sometimes,Yes,No,,Maybe,Fri,Yes,"Long wait time, Poor packaging"
18–24,Male,Pune,₹30k–50k,Working professional,2–3 times/week,Others,Breakfast,Continental,₹200–400,Taste,Both,Depends,Solo,3,2,20–30 min,Sometimes,Yes,No,,No,Sun,No,Long wait time
25–34,Male,Bangalore,<₹15k,Working professional,Once a week,Others,Snacks,"Continental, Italian, Fusion",₹400–600,Price,Both,Depends,Family (3–4),4,2,20–30 min,Sometimes,No,Yes,5.0,Maybe,Fri,Yes,"Long wait time, High price, Limited choice"
45–54,Male,Hyderabad,₹50k–75k,Working professional,Never,Zomato,Breakfast,Fusion,₹200–400,"Quantity, Discounts, Delivery time",Veg,Combo,Family (3–4),2,4,<20 min,Sometimes,Yes,No,,Maybe,Thu,Yes,Poor packaging
35–44,Male,Hyderabad,<₹15k,Working professional,2–3 times/week,Zomato,Breakfast,Chinese,₹200–400,Packaging,Veg,Depends,Solo,3,3,<20 min,Yes,Yes,No,,Maybe,Sun,Yes,Long wait time
35–44,Male,Bangalore,₹30k–50k,Working professional,Once a week,"Others, Zomato","Lunch, Snacks","Continental, Fusion",₹200–400,Taste,Non-Veg,Combo,Solo,2,5,30–45 min,Sometimes,No,Yes,3.0,Maybe,Wed,Yes,Poor packaging
35–44,Male,Hyderabad,₹30k–50k,Student,2–3 times/week,"Direct, Swiggy","Snacks, Breakfast, Dinner",Fusion,₹100–200,Price,Both,Combo,Solo,2,4,30–45 min,Sometimes,Yes,Yes,1.0,Yes,Wed,No,"Long wait time, Limited choice"
25–34,Female,Delhi,₹30k–50k,Homemaker,Rarely,"Zomato, Others","Breakfast, Lunch","Fusion, Chinese",₹200–400,"Price, Discounts, Delivery time",Non-Veg,Combo,2 people,2,5,20–30 min,Yes,Yes,No,,Maybe,Mon,Yes,Limited choice
18–24,Male,Bangalore,₹30k–50k,Retired,2–3 times/week,Direct,Dinner,"Continental, Fusion, Chinese",₹200–400,Delivery time,Both,Depends,Solo,4,3,<20 min,No,No,No,,Yes,Sun,Yes,High price
35–44,Female,Mumbai,₹15k–30k,Working professional,Once a week,Direct,Dinner,Continental,₹200–400,Quantity,Both,Depends,2 people,1,4,<20 min,No,Yes,No,,Yes,Sat,Yes,"Limited choice, Cold food, Long wait time"
35–44,Female,Delhi,<₹15k,Other,Once a week,Others,Dinner,Fusion,₹200–400,Packaging,Veg,Combo,Solo,3,4,30–45 min,Sometimes,Yes,Yes,5.0,Yes,Mon,Yes,Poor packaging
45–54,Female,Bangalore,₹50k–75k,Student,Once a week,"Zomato, Direct","Dinner, Breakfast",Indian,₹400–600,Packaging,Both,Combo,Solo,2,3,30–45 min,Yes,Yes,Yes,1.0,Maybe,Sat,No,Cold food
45–54,Male,Hyderabad,₹30k–50k,Working professional,Daily,Others,Dinner,Continental,₹100–200,Price,Both,Combo,Solo,3,4,20–30 min,No,No,No,,Yes,Thu,Yes,Poor packaging
25–34,Female,Kolkata,₹50k–75k,Working professional,2–3 times/week,Zomato,Dinner,Fusion,₹200–400,Packaging,Non-Veg,A la carte,Solo,2,3,30–45 min,Yes,Yes,Yes,5.0,Maybe,Sun,No,High price
25–34,Male,Hyderabad,₹50k–75k,Working professional,Once a week,Direct,"Snacks, Dinner, Lunch","Italian, Chinese, Fusion",₹200–400,"Quantity, Delivery time",Both,A la carte,Family (3–4),2,3,30–45 min,Yes,Yes,Yes,2.0,No,Wed,Yes,High price
35–44,Male,Hyderabad,₹50k–75k,Working professional,Once a week,Direct,Lunch,Chinese,₹200–400,Delivery time,Both,Combo,Large group,3,3,45+ min,Yes,No,Yes,3.0,Yes,Sat,Yes,Limited choice
25–34,Prefer not to say,Bangalore,₹30k–50k,Working professional,2–3 times/week,Zomato,Dinner,Chinese,₹100–200,Discounts,Veg,Depends,Solo,4,1,<20 min,No,No,Yes,3.0,No,Fri,No,"Cold food, Limited choice"
35–44,Male,Hyderabad,₹15k–30k,Student,Rarely,Swiggy,Breakfast,"Fusion, Chinese, Continental",₹200–400,Delivery time,Non-Veg,Combo,2 people,2,4,20–30 min,Sometimes,Yes,Yes,4.0,No,Mon,Yes,"Long wait time, Cold food"
35–44,Female,Mumbai,₹50k–75k,Working professional,2–3 times/week,Zomato,"Breakfast, Snacks, Dinner",Chinese,₹400–600,Packaging,Non-Veg,Depends,Solo,2,3,<20 min,Yes,No,No,,Maybe,Sun,Yes,Poor packaging
45–54,Female,Delhi,₹30k–50k,Student,Never,Swiggy,"Lunch, Snacks",Chinese,₹200–400,"Packaging, Delivery time",Veg,A la carte,2 people,2,1,30–45 min,No,Yes,Yes,5.0,Yes,Tue,No,"High price, Cold food"
25–34,Female,Delhi,₹15k–30k,Homemaker,2–3 times/week,"Swiggy, Zomato, Direct",Lunch,Italian,₹400–600,"Discounts, Price",Both,A la carte,Solo,5,3,30–45 min,Yes,No,No,,Yes,Sat,No,Poor packaging
25–34,Female,Bangalore,₹50k–75k,Working professional,Once a week,Zomato,Dinner,"Fusion, Chinese",₹600+,"Discounts, Price",Veg,Depends,2 people,3,3,20–30 min,Yes,Yes,No,,No,Sat,Yes,Limited choice
18–24,Male,Mumbai,₹50k–75k,Student,Rarely,Direct,Snacks,Fusion,₹100–200,Price,Both,Depends,Family (3–4),3,3,<20 min,No,Yes,No,,Yes,Fri,Yes,Cold food
25–34,Male,Mumbai,₹30k–50k,Working professional,2–3 times/week,Swiggy,Snacks,Fusion,₹100–200,"Delivery time, Price",Non-Veg,Combo,Solo,2,2,20–30 min,Yes,No,No,,Yes,Mon,Yes,"Cold food, High price, Poor packaging"
<18,Female,Delhi,<₹15k,Working professional,Daily,Zomato,Breakfast,Indian,₹600+,Packaging,Veg,Combo,Family (3–4),3,4,20–30 min,No,Yes,No,,Yes,Sun,No,Long wait time
25–34,Male,Kolkata,₹30k–50k,Retired,Never,Swiggy,Snacks,Chinese,₹600+,Quantity,Both,Depends,Solo,1,4,20–30 min,Yes,Yes,No,,No,Wed,Yes,Limited choice
25–34,Male,Delhi,₹50k–75k,Working professional,Once a week,Zomato,Breakfast,Continental,<₹100,"Delivery time, Quantity, Taste",Both,Combo,Solo,1,4,20–30 min,Yes,Yes,No,,Yes,Fri,No,Limited choice
18–24,Male,Bangalore,₹75k+,Working professional,Once a week,Direct,Snacks,"Continental, Italian, Indian",<₹100,Packaging,Non-Veg,Combo,Solo,3,5,<20 min,No,No,No,,No,Sat,Yes,Long wait time
25–34,Male,Mumbai,₹15k–30k,Homemaker,Daily,Others,"Breakfast, Lunch",Chinese,₹100–200,Packaging,Veg,A la carte,Solo,3,4,30–45 min,No,Yes,No,,Maybe,Sun,Yes,"High price, Poor packaging, Limited choice"
<18,Male,Hyderabad,<₹15k,Working professional,Once a week,"Direct, Swiggy, Zomato",Snacks,"Continental, Indian",₹600+,"Price, Discounts, Taste",Veg,Depends,Solo,2,4,20–30 min,Yes,Yes,No,,Maybe,Fri,Yes,Long wait time
<18,Male,Delhi,₹50k–75k,Student,Once a week,"Swiggy, Direct, Zomato",Lunch,"Indian, Chinese, Continental",₹100–200,Taste,Non-Veg,Depends,Solo,4,5,20–30 min,No,Yes,Yes,5.0,Yes,Wed,Yes,Poor packaging
35–44,Female,Delhi,₹30k–50k,Working professional,Once a week,Swiggy,Snacks,Italian,₹200–400,"Packaging, Delivery time",Veg,Depends,Solo,5,3,<20 min,Sometimes,Yes,No,,Yes,Sat,Yes,"High price, Poor packaging"
25–34,Female,Bangalore,₹30k–50k,Retired,Once a week,"Swiggy, Zomato","Dinner, Snacks",Italian,₹400–600,Delivery time,Non-Veg,A la carte,Solo,3,4,30–45 min,Sometimes,Yes,No,,Yes,Tue,Yes,Cold food
18–24,Female,Mumbai,₹75k+,Working professional,Daily,Zomato,"Lunch, Snacks","Fusion, Italian, Continental",<₹100,Price,Both,Combo,2 people,4,3,20–30 min,Yes,Yes,No,,Yes,Mon,No,"Limited choice, High price"
25–34,Male,Mumbai,<₹15k,Working professional,Once a week,Zomato,Breakfast,Fusion,₹200–400,Delivery time,Non-Veg,A la carte,Family (3–4),5,3,45+ min,No,Yes,Yes,1.0,Yes,Sun,Yes,Long wait time
35–44,Male,Delhi,₹30k–50k,Student,2–3 times/week,"Direct, Others",Dinner,Indian,₹100–200,Price,Both,Depends,Solo,4,4,20–30 min,No,Yes,No,,Yes,Fri,Yes,High price
18–24,Male,Mumbai,<₹15k,Student,2–3 times/week,Zomato,Breakfast,"Italian, Chinese",₹400–600,"Packaging, Discounts, Delivery time",Both,Combo,Solo,3,3,45+ min,Yes,No,No,,No,Mon,No,Cold food
25–34,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Direct,"Lunch, Breakfast, Snacks",Indian,₹100–200,Packaging,Non-Veg,Combo,Solo,4,3,30–45 min,Sometimes,No,Yes,5.0,Maybe,Fri,No,"High price, Long wait time, Cold food"
18–24,Female,Delhi,₹50k–75k,Working professional,Once a week,"Direct, Zomato",Dinner,Italian,₹200–400,"Packaging, Price",Both,Combo,Family (3–4),2,3,20–30 min,Sometimes,No,No,,Maybe,Tue,Yes,Cold food
18–24,Male,Chennai,₹30k–50k,Student,Daily,Zomato,Breakfast,"Continental, Italian",₹200–400,Taste,Non-Veg,A la carte,2 people,3,3,45+ min,Sometimes,Yes,No,,Yes,Mon,No,Poor packaging
25–34,Female,Bangalore,₹75k+,Retired,Once a week,Direct,Dinner,Italian,₹100–200,"Taste, Price",Both,Depends,Solo,2,3,20–30 min,Sometimes,No,No,,No,Tue,Yes,High price
25–34,Male,Bangalore,₹30k–50k,Homemaker,Daily,Others,"Dinner, Breakfast","Fusion, Continental",<₹100,"Taste, Discounts",Veg,A la carte,Solo,2,4,20–30 min,Sometimes,Yes,No,,Yes,Sat,Yes,Limited choice
25–34,Female,Delhi,₹15k–30k,Working professional,Rarely,Others,Snacks,"Continental, Italian, Chinese",₹200–400,"Discounts, Quantity",Veg,Depends,Solo,3,4,<20 min,No,No,No,,No,Sat,No,Cold food
35–44,Female,Pune,₹15k–30k,Homemaker,2–3 times/week,"Direct, Swiggy, Zomato",Breakfast,Chinese,₹100–200,Quantity,Both,Combo,Solo,2,4,20–30 min,No,Yes,No,,Yes,Fri,No,Limited choice
55+,Female,Delhi,₹30k–50k,Student,2–3 times/week,Direct,"Breakfast, Lunch",Fusion,₹400–600,Discounts,Non-Veg,Depends,Family (3–4),4,3,30–45 min,Sometimes,Yes,No,,Maybe,Wed,No,"Cold food, Poor packaging"
25–34,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Others,Breakfast,"Continental, Fusion",₹400–600,Price,Both,Depends,Family (3–4),3,5,30–45 min,No,Yes,No,,Maybe,Sat,No,Cold food
25–34,Female,Hyderabad,<₹15k,Working professional,2–3 times/week,Direct,Breakfast,"Chinese, Continental, Fusion",₹200–400,Taste,Both,Combo,Solo,3,4,<20 min,Yes,Yes,No,,Yes,Thu,Yes,High price
35–44,Male,Mumbai,₹30k–50k,Homemaker,Rarely,Zomato,Breakfast,Continental,₹200–400,"Packaging, Quantity, Price",Veg,Depends,2 people,2,3,20–30 min,Yes,No,No,,Maybe,Fri,Yes,Limited choice
18–24,Female,Delhi,₹30k–50k,Homemaker,Rarely,Zomato,Lunch,Continental,₹200–400,Packaging,Non-Veg,Combo,Solo,2,5,20–30 min,Sometimes,No,No,,No,Sun,Yes,Long wait time
25–34,Male,Bangalore,₹50k–75k,Working professional,2–3 times/week,"Zomato, Direct",Dinner,Continental,₹400–600,"Quantity, Packaging, Delivery time",Non-Veg,Depends,Solo,3,4,30–45 min,Yes,No,Yes,3.0,Yes,Fri,Yes,Poor packaging
18–24,Female,Pune,₹30k–50k,Retired,2–3 times/week,"Zomato, Direct","Breakfast, Lunch",Chinese,₹200–400,Packaging,Both,Depends,Family (3–4),5,4,20–30 min,No,No,Yes,5.0,No,Fri,Yes,Limited choice
<18,Female,Bangalore,₹50k–75k,Student,Rarely,Others,"Lunch, Dinner",Italian,₹100–200,"Price, Taste, Packaging",Both,Depends,2 people,1,3,45+ min,Sometimes,Yes,No,,No,Sun,Yes,"Cold food, Long wait time, High price"
55+,Female,Hyderabad,<₹15k,Retired,Never,"Direct, Swiggy","Lunch, Breakfast",Fusion,₹100–200,Price,Veg,A la carte,Solo,2,4,20–30 min,Sometimes,Yes,No,,Maybe,Fri,No,Limited choice
35–44,Male,Kolkata,₹15k–30k,Other,2–3 times/week,Swiggy,Breakfast,Indian,₹200–400,"Delivery time, Discounts",Non-Veg,Combo,Solo,5,5,20–30 min,Sometimes,No,No,,Maybe,Fri,No,Cold food
35–44,Female,Mumbai,₹30k–50k,Student,2–3 times/week,Direct,Lunch,"Chinese, Italian",₹200–400,Price,Both,A la carte,Family (3–4),1,4,30–45 min,No,Yes,Yes,4.0,No,Fri,Yes,Cold food
25–34,Female,Delhi,₹30k–50k,Homemaker,Once a week,Direct,Snacks,"Continental, Chinese",₹200–400,Quantity,Veg,Combo,2 people,5,4,20–30 min,Yes,No,No,,Maybe,Wed,Yes,Limited choice
18–24,Female,Delhi,<₹15k,Student,Never,"Zomato, Swiggy, Direct",Snacks,Italian,<₹100,Delivery time,Both,Depends,Solo,3,4,<20 min,Sometimes,Yes,No,,Maybe,Sat,No,Cold food
18–24,Male,Bangalore,₹50k–75k,Working professional,Once a week,Direct,Lunch,Continental,₹200–400,Quantity,Both,Depends,Solo,3,5,20–30 min,Yes,Yes,No,,Yes,Sat,Yes,Long wait time
18–24,Male,Bangalore,₹50k–75k,Working professional,2–3 times/week,Swiggy,Breakfast,"Italian, Chinese",₹100–200,Packaging,Both,Depends,Solo,3,3,<20 min,Yes,No,Yes,4.0,Yes,Wed,No,Poor packaging
25–34,Male,Pune,₹30k–50k,Working professional,Once a week,"Swiggy, Direct, Others",Breakfast,Italian,₹100–200,Price,Non-Veg,Combo,Large group,2,4,45+ min,Yes,Yes,No,,Maybe,Mon,Yes,Poor packaging
35–44,Male,Hyderabad,<₹15k,Retired,Once a week,Swiggy,"Breakfast, Snacks, Lunch",Fusion,₹200–400,"Quantity, Packaging, Price",Veg,Depends,2 people,3,2,20–30 min,Yes,Yes,Yes,3.0,Maybe,Sun,Yes,"Long wait time, Poor packaging, Cold food"
35–44,Female,Hyderabad,₹50k–75k,Working professional,2–3 times/week,Others,Snacks,Continental,₹100–200,Quantity,Non-Veg,Depends,Solo,5,4,20–30 min,Yes,Yes,Yes,3.0,Yes,Fri,No,Long wait time
18–24,Male,Delhi,₹30k–50k,Working professional,Never,Zomato,Lunch,Continental,₹200–400,Quantity,Veg,Depends,2 people,4,4,20–30 min,Yes,No,No,,Yes,Tue,No,Cold food
55+,Non-binary,Chennai,₹50k–75k,Homemaker,Once a week,Zomato,Snacks,Indian,₹100–200,"Taste, Price",Both,Combo,Family (3–4),4,1,<20 min,No,Yes,Yes,3.0,Yes,Wed,Yes,Limited choice
35–44,Male,Kolkata,₹50k–75k,Other,2–3 times/week,Swiggy,Lunch,Indian,₹200–400,Taste,Veg,Combo,Solo,4,4,30–45 min,Sometimes,Yes,Yes,5.0,Maybe,Fri,Yes,High price
25–34,Male,Chennai,₹50k–75k,Student,Once a week,"Swiggy, Zomato, Others",Lunch,"Chinese, Continental",₹200–400,Price,Both,Combo,Solo,2,3,45+ min,Yes,Yes,No,,Maybe,Tue,No,"Poor packaging, Limited choice"
25–34,Female,Mumbai,₹30k–50k,Other,Once a week,"Others, Direct, Zomato",Dinner,Indian,₹100–200,"Taste, Packaging",Non-Veg,A la carte,2 people,4,2,30–45 min,Yes,Yes,Yes,5.0,Yes,Mon,Yes,Cold food
25–34,Female,Hyderabad,₹15k–30k,Student,2–3 times/week,Others,"Lunch, Breakfast, Dinner",Continental,₹100–200,Quantity,Non-Veg,A la carte,2 people,3,3,20–30 min,No,Yes,No,,Yes,Sat,No,Poor packaging
18–24,Female,Mumbai,₹30k–50k,Homemaker,2–3 times/week,Direct,Snacks,Indian,₹400–600,"Taste, Price",Veg,Depends,2 people,4,3,20–30 min,No,Yes,Yes,2.0,Maybe,Sat,Yes,Cold food
25–34,Female,Delhi,₹30k–50k,Working professional,Once a week,"Others, Zomato",Breakfast,Fusion,₹200–400,Price,Both,Combo,Family (3–4),3,3,<20 min,Sometimes,No,No,,Yes,Thu,Yes,"Cold food, Long wait time, High price"
35–44,Female,Mumbai,₹50k–75k,Student,2–3 times/week,"Zomato, Swiggy",Dinner,Indian,₹200–400,Discounts,Non-Veg,Combo,Solo,4,3,30–45 min,Yes,No,No,,Maybe,Mon,Yes,Limited choice
<18,Male,Hyderabad,₹15k–30k,Working professional,Once a week,"Zomato, Swiggy, Others",Dinner,"Indian, Fusion, Continental",<₹100,Price,Veg,A la carte,Solo,5,4,20–30 min,Sometimes,Yes,Yes,1.0,Yes,Fri,Yes,"High price, Long wait time, Cold food"
18–24,Prefer not to say,Hyderabad,₹15k–30k,Working professional,2–3 times/week,Others,Snacks,"Chinese, Italian, Continental",₹200–400,Taste,Both,Depends,Large group,3,4,20–30 min,No,No,No,,No,Wed,Yes,Limited choice
<18,Non-binary,Mumbai,₹50k–75k,Working professional,Never,Swiggy,Dinner,Continental,₹200–400,Quantity,Non-Veg,Depends,Solo,1,4,45+ min,No,Yes,No,,No,Thu,Yes,"Cold food, High price, Long wait time"
<18,Female,Delhi,₹50k–75k,Student,Rarely,"Zomato, Direct, Swiggy","Snacks, Dinner, Breakfast",Chinese,₹200–400,Discounts,Non-Veg,Depends,2 people,3,1,20–30 min,Yes,Yes,Yes,5.0,No,Wed,Yes,High price
45–54,Male,Bangalore,₹75k+,Working professional,2–3 times/week,Direct,"Snacks, Breakfast, Lunch",Continental,₹200–400,Quantity,Non-Veg,A la carte,2 people,3,5,<20 min,Yes,Yes,No,,Maybe,Tue,Yes,Limited choice
35–44,Female,Delhi,₹50k–75k,Retired,2–3 times/week,Swiggy,"Dinner, Breakfast, Snacks",Chinese,₹100–200,Discounts,Veg,A la carte,2 people,4,4,<20 min,Yes,Yes,Yes,2.0,Maybe,Thu,Yes,"Long wait time, High price, Poor packaging"
25–34,Male,Mumbai,₹30k–50k,Working professional,Rarely,"Swiggy, Direct",Lunch,Chinese,₹100–200,"Packaging, Taste, Discounts",Both,Depends,Solo,5,1,20–30 min,Yes,Yes,Yes,2.0,Maybe,Sun,Yes,Poor packaging
18–24,Male,Bangalore,₹30k–50k,Working professional,Once a week,Others,"Dinner, Breakfast","Indian, Chinese, Fusion",₹400–600,Taste,Non-Veg,A la carte,Family (3–4),3,5,<20 min,No,Yes,Yes,4.0,Yes,Wed,No,Limited choice
25–34,Male,Chennai,₹50k–75k,Working professional,Rarely,Swiggy,Snacks,"Fusion, Continental",₹400–600,"Price, Discounts, Delivery time",Veg,Combo,Family (3–4),3,3,20–30 min,Sometimes,No,No,,Yes,Thu,Yes,Long wait time
25–34,Male,Mumbai,₹30k–50k,Student,Rarely,Swiggy,Dinner,Continental,₹100–200,"Price, Delivery time",Non-Veg,Combo,2 people,4,4,20–30 min,Sometimes,Yes,No,,Yes,Thu,Yes,"Cold food, Poor packaging, Limited choice"
18–24,Female,Mumbai,₹30k–50k,Homemaker,Once a week,Swiggy,Dinner,Fusion,₹200–400,Taste,Both,Combo,Solo,2,4,20–30 min,No,No,No,,Maybe,Fri,Yes,"Long wait time, Limited choice"
